dnaSampleID	sequencerRunID	internalLabID	rawDataFileName	rawDataFileDescription	rawDataFilePath	checkSum
HARV_021-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2421	BMI_H25VYBGXH_19S_26WellH9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellH9_R2.fastq.gz	dc9a888e0be605b26491eae212a4bae1
HARV_021-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2421	BMI_H25VYBGXH_19S_26WellH9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellH9_R1.fastq.gz	df564affac2459539e906f0afe21de37
HARV_013-O-20190717-COMP-DNA1	H25VYBGXH	19S_26_2420	BMI_H25VYBGXH_19S_26WellG9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellG9_R1.fastq.gz	aa398b29241646c4bb5ba0537a4e8749
HARV_013-O-20190717-COMP-DNA1	H25VYBGXH	19S_26_2420	BMI_H25VYBGXH_19S_26WellG9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellG9_R2.fastq.gz	b3833de87a7c1cdf39184cc780b87527
HARV_001-O-20190717-COMP-DNA1	H25VYBGXH	19S_26_2416	BMI_H25VYBGXH_19S_26WellC9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellC9_R1.fastq.gz	19e71244f9d525cebdd129e37af39aea
HARV_001-O-20190717-COMP-DNA1	H25VYBGXH	19S_26_2416	BMI_H25VYBGXH_19S_26WellC9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellC9_R2.fastq.gz	3ef257853b0a595c3da51cb590de5395
HARV_004-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2418	BMI_H25VYBGXH_19S_26WellE9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellE9_R2.fastq.gz	27671658cbe098e69fc66623f4f3e883
HARV_004-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2418	BMI_H25VYBGXH_19S_26WellE9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellE9_R1.fastq.gz	fd479e996853500e2f3ef05d652b8ab2
HARV_035-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2424	BMI_H25VYBGXH_19S_26WellC10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellC10_R1.fastq.gz	740a1a973f5c940aefeb016614895bc8
HARV_035-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2424	BMI_H25VYBGXH_19S_26WellC10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellC10_R2.fastq.gz	2e2b59c3e09b79b78d0a8f4a9e49100e
HARV_034-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2423	BMI_H25VYBGXH_19S_26WellB10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellB10_R1.fastq.gz	c33001fc60aabd8ccb1fd81f5d964a56
HARV_034-O-20190718-COMP-DNA1	H25VYBGXH	19S_26_2423	BMI_H25VYBGXH_19S_26WellB10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellB10_R2.fastq.gz	1e6b6c5f35935f65787e56c93ddc2a61
HARV_034-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0821	BMI_HLHJLBGXK_20S_09_0821_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0821_R2.fastq.gz	671f2a4eda2eead1762fb562bc72d72e
HARV_034-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0821	BMI_HLHJLBGXK_20S_09_0821_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0821_R1.fastq.gz	1010ec438813dea19126b3a8477a23e4
HARV_013-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0818	BMI_HLHJLBGXK_20S_09_0818_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0818_R1.fastq.gz	f56a124d923b946bf83a701977d80d13
HARV_013-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0818	BMI_HLHJLBGXK_20S_09_0818_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0818_R2.fastq.gz	bdb547b7343d910b0260ae696c800eb5
HARV_037-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0823	BMI_HLHJLBGXK_20S_09_0823_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0823_R1.fastq.gz	0ac550efe6d3b2c5d0b8ecb722f703b3
HARV_037-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0823	BMI_HLHJLBGXK_20S_09_0823_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0823_R2.fastq.gz	683e1569d463ec80da9506751d29d2df
HARV_001-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0814	BMI_HLHJLBGXK_20S_09_0814_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0814_R2.fastq.gz	75c873607f0d8c50b9b7bd5177dca437
HARV_001-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0814	BMI_HLHJLBGXK_20S_09_0814_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0814_R1.fastq.gz	55b7e3d6ed1366d525599842fec9b549
HARV_004-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0816	BMI_HLHJLBGXK_20S_09_0816_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0816_R2.fastq.gz	dd3347924eaf18a0d36e66b8fb5b6aa1
HARV_004-O-20200713-COMP-DNA1	HLHJLBGXK	20S_09_0816	BMI_HLHJLBGXK_20S_09_0816_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0816_R1.fastq.gz	37d4d493891f7b75ff1a42360de964f5
HARV_021-O-20200714-COMP-DNA1	HLHJLBGXK	20S_09_0819	BMI_HLHJLBGXK_20S_09_0819_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0819_R2.fastq.gz	414c9e5b5608da5ab06d1012ec3c8598
HARV_021-O-20200714-COMP-DNA1	HLHJLBGXK	20S_09_0819	BMI_HLHJLBGXK_20S_09_0819_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0819_R1.fastq.gz	48c52d4ce5776e5ee6ef6fc35c19205b
HARV_035-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0822	BMI_HLHJLBGXK_20S_09_0822_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0822_R2.fastq.gz	e7e1f33e0a1dc86adcf36e087d2d750e
HARV_035-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0822	BMI_HLHJLBGXK_20S_09_0822_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0822_R1.fastq.gz	be8660de4c45b89f00b91d01862542ab
HARV_033-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0820	BMI_HLHJLBGXK_20S_09_0820_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0820_R1.fastq.gz	10871023a57ffe44b3b9a912637e0b38
HARV_033-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0820	BMI_HLHJLBGXK_20S_09_0820_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0820_R2.fastq.gz	30605cc0a167a7e0379817afa62472f3
HARV_002-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0815	BMI_HLHJLBGXK_20S_09_0815_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0815_R1.fastq.gz	ae9be177a82029e924f9c234b0c135f2
HARV_002-O-20200715-COMP-DNA1	HLHJLBGXK	20S_09_0815	BMI_HLHJLBGXK_20S_09_0815_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0815_R2.fastq.gz	915dac17a31601684481fddca7ebaa15
HARV_005-O-20200716-COMP-DNA1	HLHJLBGXK	20S_09_0817	BMI_HLHJLBGXK_20S_09_0817_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R2/BMI_HLHJLBGXK_20S_09_0817_R2.fastq.gz	ef8ed2b2ee3212f106d3856378633f24
HARV_005-O-20200716-COMP-DNA1	HLHJLBGXK	20S_09_0817	BMI_HLHJLBGXK_20S_09_0817_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HLHJLBGXK_mms_R1/BMI_HLHJLBGXK_20S_09_0817_R1.fastq.gz	64b320f7fc2ae4a1501fee7841d49fa6
BLAN_005-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0661	BMI_HVT2HBGXJ_20S_08_0661_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0661_R1.fastq.gz	8b5794e91b1e79e02f1a3e7ef53a73b3
BLAN_005-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0661	BMI_HVT2HBGXJ_20S_08_0661_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0661_R2.fastq.gz	44dc66147143a6eb1e806defa7f3706e
BLAN_031-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0664	BMI_HVT2HBGXJ_20S_08_0664_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0664_R1.fastq.gz	2a4f30474372025edbd03d8850ccd252
BLAN_031-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0664	BMI_HVT2HBGXJ_20S_08_0664_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0664_R2.fastq.gz	f28072a0da7647c4af4a7515699e419e
BLAN_007-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0663	BMI_HVT2HBGXJ_20S_08_0663_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0663_R2.fastq.gz	db56676eed871f55c8183a8c51446abe
BLAN_007-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0663	BMI_HVT2HBGXJ_20S_08_0663_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0663_R1.fastq.gz	cd141886669769af8f1581b717e65000
BLAN_033-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0666	BMI_HVT2HBGXJ_20S_08_0666_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0666_R2.fastq.gz	5999c3134f4b6ec8e02fc9ed7922c7ca
BLAN_033-M-20200713-COMP-DNA1	HVT2HBGXJ	20S_08_0666	BMI_HVT2HBGXJ_20S_08_0666_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0666_R1.fastq.gz	227d617023328c9ff027c4be1a172fd7
BLAN_038-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0667	BMI_HVT2HBGXJ_20S_08_0667_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0667_R2.fastq.gz	597f41e3f61310b99c313a451d0e21a9
BLAN_038-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0667	BMI_HVT2HBGXJ_20S_08_0667_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0667_R1.fastq.gz	b52532730ab011ed618b03a834dc1bd7
BLAN_032-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0665	BMI_HVT2HBGXJ_20S_08_0665_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0665_R1.fastq.gz	8d4f4e6ce1b2659f169bb08d342beaad
BLAN_032-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0665	BMI_HVT2HBGXJ_20S_08_0665_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0665_R2.fastq.gz	7adf756b1a5542eb9ce6241f219640c2
BLAN_001-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0658	BMI_HVT2HBGXJ_20S_08_0658_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0658_R1.fastq.gz	f494b25d794305a55f72447d7864e4db
BLAN_001-M-20200714-COMP-DNA1	HVT2HBGXJ	20S_08_0658	BMI_HVT2HBGXJ_20S_08_0658_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0658_R2.fastq.gz	3949a4a711b0347774f0f0785cadd2dc
BLAN_004-M-20200715-COMP-DNA1	HVT2HBGXJ	20S_08_0660	BMI_HVT2HBGXJ_20S_08_0660_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0660_R2.fastq.gz	3d585361eb341cf759c41b3bc887eda8
BLAN_004-M-20200715-COMP-DNA1	HVT2HBGXJ	20S_08_0660	BMI_HVT2HBGXJ_20S_08_0660_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0660_R1.fastq.gz	b3700b7cd85c1b9f0e3062a88eeef01b
BLAN_006-M-20200715-COMP-DNA1	HVT2HBGXJ	20S_08_0662	BMI_HVT2HBGXJ_20S_08_0662_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0662_R1.fastq.gz	5f394d1afa2666e09f3c479ffd5344a8
BLAN_006-M-20200715-COMP-DNA1	HVT2HBGXJ	20S_08_0662	BMI_HVT2HBGXJ_20S_08_0662_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0662_R2.fastq.gz	8055881e1c1a1a7dc47881a4b35328ca
BLAN_003-M-20200716-COMP-DNA1	HVT2HBGXJ	20S_08_0659	BMI_HVT2HBGXJ_20S_08_0659_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R1/BMI_HVT2HBGXJ_20S_08_0659_R1.fastq.gz	9fedc14947f8c2aa9782ad977b6da8f4
BLAN_003-M-20200716-COMP-DNA1	HVT2HBGXJ	20S_08_0659	BMI_HVT2HBGXJ_20S_08_0659_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_HVT2HBGXJ_mms_R2/BMI_HVT2HBGXJ_20S_08_0659_R2.fastq.gz	61f17084c7ac1acd6578ae39b161d0ee
SCBI_012-M-20140915-COMP-DNA1	run20150603	NA	SCBI_012-M-20140915-comp_R1.fastq.gz	Forward reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_012-M-20140915-comp_R1.fastq.gz	8ac93e74cf6b741f05358df65bab4753
SCBI_012-M-20140915-COMP-DNA1	run20150603	NA	SCBI_012-M-20140915-comp_R2.fastq.gz	Reverse reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_012-M-20140915-comp_R2.fastq.gz	19093b4b248d16733a97eebf3282bb29
SCBI_006-M-20140915-COMP-DNA1	run20150603	NA	SCBI_006-M-20140915-comp_R1.fastq.gz	Forward reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_006-M-20140915-comp_R1.fastq.gz	8f4a9c9b8b42621b8ac98a0f52a9b561
SCBI_006-M-20140915-COMP-DNA1	run20150603	NA	SCBI_006-M-20140915-comp_R2.fastq.gz	Reverse reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_006-M-20140915-comp_R2.fastq.gz	e626aa63fb671917a71162b0a2383d9a
SCBI_002-M-20140915-COMP-DNA1	run20150603	NA	SCBI_002-M-20140915-comp_R2.fastq.gz	Reverse reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_002-M-20140915-comp_R2.fastq.gz	e9d118f9ac1e36d9e061b55715bbcbbc
SCBI_002-M-20140915-COMP-DNA1	run20150603	NA	SCBI_002-M-20140915-comp_R1.fastq.gz	Forward reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_002-M-20140915-comp_R1.fastq.gz	6b47b8a7d5a31648f6917a8b8c490197
SCBI_003-M-20140915-COMP-DNA1	run20150603	NA	SCBI_003-M-20140915-comp_R2.fastq.gz	Reverse reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_003-M-20140915-comp_R2.fastq.gz	fbef2cd514a9f80cb1726b7db0a3d91b
SCBI_003-M-20140915-COMP-DNA1	run20150603	NA	SCBI_003-M-20140915-comp_R1.fastq.gz	Forward reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/SCBI_003-M-20140915-comp_R1.fastq.gz	16e6e94637cb36ae1b7d01c77bc044f2
SCBI_005-M-20190729-COMP-DNA1	H25VYBGXH	19S_26_2428	BMI_H25VYBGXH_19S_26WellG10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellG10_R2.fastq.gz	0fa58d181ac83cef23a81aadac449e13
SCBI_005-M-20190729-COMP-DNA1	H25VYBGXH	19S_26_2428	BMI_H25VYBGXH_19S_26WellG10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellG10_R1.fastq.gz	d7482c6f43f2066528d5b880560c9007
SCBI_003-M-20190729-COMP-DNA1	H25VYBGXH	19S_26_2426	BMI_H25VYBGXH_19S_26WellE10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellE10_R2.fastq.gz	dab131339dddf7d8976bb5f667522860
SCBI_003-M-20190729-COMP-DNA1	H25VYBGXH	19S_26_2426	BMI_H25VYBGXH_19S_26WellE10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellE10_R1.fastq.gz	8d5a3e0357631c173d3ecc89ab8195e4
